URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
https://www.westcorkwomensproject.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,https://www.westcorkwomensproject.ie/be-safe/online-safety,
https://www.osscork.com/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://cuanleerefuge.org/,Domestic Abuse,Ireland,Redirect,,,,,,,
http://www.goodshepherdcork.ie/,Domestic Abuse,Ireland,,,,,,,,
https://donegalwomenscentre.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://www.ldvs.org/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,Redirect site no longer exists
https://www.donegaldomesticviolenceservices.ie/,Domestic Abuse,Ireland,Redirect,,,,,,,
https://sdvs.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://aoibhneas.ie/,Domestic Abuse,Ireland,Write+new tab,Write+new tab,,,,,,
https://www.domesticviolenceresponse.com/,Domestic Abuse,Ireland,,,,,,,,
https://www.copegalway.ie/,Domestic Abuse,Ireland,,,,,,,,
https://kerryrefuge.com/,Domestic Abuse,Ireland,Redirect,,,,,,http://kerryrefuge.com/safe-browsing/,
http://www.teachtearmainn.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,http://www.teachtearmainn.ie/cover-your-tracks/,
https://domesticviolence.ie/,Domestic Abuse,Ireland,Redirect,,,,,,,only appears on scroll
https://roscommonsafelink.ie/,Domestic Abuse,Ireland,Write+new tab,Write+new tab,,,,,,
https://www.mwss.ie/,Domestic Abuse,Ireland,,,,,,,,
https://www.droghedarefuge.org/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,https://www.droghedarefuge.org/howtohideyourvisit.php,
https://www.lwl.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://www.safetotalk.nz/,Domestic Abuse,New Zealand,Redirect,Redirect,,,,,https://www.safetotalk.nz/your-digital-safety,Has customisable quick exit link
https://www.2shine.org.nz/,Domestic Abuse,New Zealand,Redirect,,,,,,https://www.2shine.org.nz/hide-my-visit/,
https://www.hewakatapu.org.nz/,Domestic Abuse,New Zealand,,,,,,,,
https://www.areyouok.org.nz/,Domestic Abuse,New Zealand,Unique,Unique,,,,Clickable Pop-up,https://www.areyouok.org.nz/using-this-website-safely/,replaces current page with preloaded covid-19 site before going to it. functionally a redirect.
https://www.kahukura.co.nz/,Domestic Abuse,New Zealand,,,,,,,,
https://www.gandhinivas.nz/,Domestic Abuse,New Zealand,,,,,,,,
https://nnfvs.org.nz/,Domestic Abuse,New Zealand,Redirect,Redirect,,,,,,has two different buttons which function the same
https://www.avivafamilies.org.nz/,Domestic Abuse,New Zealand,Redirect,Redirect,,,,,https://www.avivafamilies.org.nz/Hide-my-visit/,
https://www.wellingtonwomensrefuge.co.nz/,Domestic Abuse,New Zealand,,,,,,,https://www.wellingtonwomensrefuge.co.nz/hide-my-visit/,
https://taurangawomensrefuge.co.nz/,Domestic Abuse,New Zealand,Redirect,Redirect,,,,,https://taurangawomensrefuge.co.nz/hide-your-visit/,mobile qeb only shows when scrolling down and partly back up
https://www.abuseprevention.org.nz/,Domestic Abuse,New Zealand,,,,,,,,
http://www.hestiawomensrefuge.co.nz/,Domestic Abuse,New Zealand,,,,,,,,
https://www.nzess.co.nz/,Domestic Abuse,New Zealand,,,,,,,,
http://www.waves.org.nz/,Domestic Abuse,New Zealand,,,,,,,http://www.waves.org.nz/how-to-remove-this-page-from-your-search-history/,
,Domestic Abuse,New Zealand,,,,,,,,
,Domestic Abuse,New Zealand,,,,,,,,
,Domestic Abuse,New Zealand,,,,,,,,
,Domestic Abuse,New Zealand,,,,,,,,
,Domestic Abuse,New Zealand,,,,,,,,
,Domestic Abuse,New Zealand,,,,,,,,
https://rapecrisis.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://cambridgerapecrisis.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,Needs 2 clicks on mobile
https://cisters.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.magdalenegroup.org/,Rape/SA,UK,Write+new tab,Write+new tab,,,,,,
http://www.rapecrisisscotland.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,Claims to have shortcut but not functional
http://www.macsas.org.uk/,Rape/SA,UK,,,,,,,,
https://www.freeva.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,https://www.freeva.org.uk/hide-browsing-history/,
https://www.glasgowclyderapecrisis.org.uk/,Rape/SA,UK,window.location writer,Redirect,window.location writer,esc,,,,
https://www.idas.org.uk/,Rape/SA,UK,,,,,,,,
https://lifecentre.uk.com/,Rape/SA,UK,Redirect,Redirect,,,,,https://sgd-digital.uk/lifec/safe-browsing-advice/,
https://www.stopitnow.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://dsahelpline.org/,Rape/SA,UK,Redirect,Redirect,,,,,,bad SEO; button only shows on mobile when scrolling
https://www.rasasc.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.rasasc.org/,Rape/SA,UK,Write+new tab,Redirect,,,,,,Much better mechanism than sister site
https://rsvporg.co.uk/,Rape/SA,UK,Redirect,,,,,,,
