URL,Platform,Colour,Background Colour,Size,Location,Type,Sticky?,Visible on load?,Label,Clicks Required,Goes To URL
https://www.firstlight.org.uk/,Mobile,#000000,#F9F9F9,average,side menu,menu item,False,No,EXIT SITE,2,https://www.bbc.co.uk/news
https://firststepleicester.org.uk/,Mobile,#6C3AD0,#FFFFFF,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://www.thehavens.org.uk/,Mobile,#215191,#CCCCCC,average,bottom left,button,False,Yes,Leave website,1,https://www.google.com/
https://niaendingviolence.org.uk/,Mobile,#5E2776,#FFFFFF,average,top right,button,False,Cookie Notice,Escape website,1,https://www.google.co.uk/
https://survivorsgateway.london/,Mobile,#286168,#2E2D2C,average,top right,button,True,Yes,LEAVE SITE,1,https://www.google.co.uk/
https://www.safetynetuk.org/,Mobile,#737373,#FFFFFF,average,side menu,menu item,False,No,Exit site,2,https://www.bbc.co.uk/news
https://www.wgn.org.uk/,Mobile,#FF1900,#FFFFFF,average,right,button,True,Yes,EXIT SITE,1,https://www.google.co.uk/
https://www.drcc.ie/,Mobile,#FBEB71,#FFFFFF,average,top right,button,True,Cookie Notice,Exit,1,https://www.her.ie/;https://www.google.com/
https://www.sexualviolence.ie/,Mobile,#FFFFFF,#000000,text,top right,text,True,Yes,hide this site,1,https://www.rte.ie/
https://galwayrcc.ie/,Mobile,#DAE57A,#FFFFFF,average,top,button,False,No,Exit site,1,https://www.google.ie/
https://trcc.ie/,Mobile,#993399,#FFFFFF,average,side menu,menu item,False,No,HIDE THIS PAGE,2,https://www.google.com/
https://www.donegalrapecrisis.ie/,Mobile,#FA0B6C,#FFFFFF,wide,content,button,False,Yes,Escape this site now,1,https://www.rte.ie/news/
https://www.krsac.com/,Mobile,#197CC1,#EFF5EA,wide,top,banner,False,Yes,HIDE THIS SITE,1,https://www.google.ie/
http://kasa.ie/,Mobile,#FFC145,#79B4BA,average,top,button,False,Yes,LEAVE WEBSITE,1,https://www.google.ie/
https://www.wellingtonhelp.org.nz/,Mobile,#808080,#FFFFFF,wide,top,banner,False,Yes,LEAVE THIS SITE,1,https://i.stuff.co.nz/
https://www.helpauckland.org.nz/,Mobile,Transparent,#FFFFFF,average,content,button,False,Yes,CLOSE THIS WEBSITE,1,https://www.nzherald.co.nz/
https://womenssafetyservices.com.au/,Mobile,#2F0455,#FFFFFF,average,top left,button,True,Yes,QUICK EXIT,1,https://www.google.com.au/;http://www.bom.gov.au/sa/?ref=hdr
https://www.safeathome.tas.gov.au/,Mobile,#D50032,#135E70,average,side menu,button,False,No,Quick exit,2,https://www.google.com/
https://www.gcasa.org.au/,Mobile,#F15B40,#FFFFFF,average,top right,image,True,Yes,,1,https://www.google.com/;https://weather.com/en-GB/?Goto=Redirected
https://msau-mdvs.org.au/,Mobile,#DE3A28,#FFFFFF,average,bottom left,button,True,Yes,Quick Escape,1,https://www.weather.com.au/;https://www.google.com.au/
https://www.projectrespect.org.au/,Mobile,#D41116,#FFFFFF,average,top right,button,True,Yes,QUICK EXIT,1,https://www.google.com/;http://www.bom.gov.au/
https://www.secasa.org.au/,Mobile,#00A19A,#FFFFFF,average,top right,button,False,Yes,QUICK EXIT,1,https://www.google.com.au/
https://www.safvcentre.org.au/,Mobile,#0094A6,#FFFFFF,average,top right,button,True,Yes,QUICK EXIT,1,https://www.google.com.au/
https://www.nasasv.org.au/,Mobile,#008081,#FFFFFF,wide,side menu,button,False,No,Quick Exit,2,https://www.google.com/
https://qsan.org.au/,Mobile,#DA0101,#FFFFFF,average,bottom right,button,True,Yes,QUICK EXIT,1,https://www.abc.net.au/news/;https://www.google.com/
https://bravehearts.org.au/,Mobile,#27255F,#FFFFFF,average,top right,button,True,Yes,Quick Exit,1,https://en.m.wikipedia.org/wiki/Main_Page
https://brissc.org.au/,Mobile,#000000,#FFFFFF,average,bottom right,button,True,Yes,Quick Exit,1,https://www.google.com/;https://www.google.com/
https://wwild.org.au/,Mobile,#FFFFFF,#FFFFFF,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://www.d2l.org/,Mobile,#F15839,#FFFFFF,average,bottom,button,True,Cookie Notice,Safety Exit,1,https://www.d2l.org/;https://www.google.com/
https://www.nsvrc.org/,Mobile,#CE0000,#FFFFFF,average,top right,button,False,Yes,Escape,1,https://www.google.com/;https://www.google.com/
https://sarcoregon.org/,Mobile,#75A0A7,#FFFFFF,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://www.iowacasa.org/,Mobile,#ED594C,#FFFFFF,average,top,button,False,Yes,Quick Escape,1,https://eu.desmoinesregister.com/
https://www.gnesa.org/,Mobile,#FF0000,#000000,average,top right,button,False,Yes,Escape Site,1,https://www.google.com/;https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_31315a5d-7c30-49e5-8b5f-9f473b071804
https://mncasa.org/,Mobile,#FFC73C,#FFFFFF,average,top right,button,False,Yes,Exit Site,1,https://www.google.com/;https://weather.com/en-GB/?Goto=Redirected
https://endrapeoncampus.org/,Mobile,#DF5757,#FFFFFF,average,right,button,True,Yes,SAFE EXIT,1,https://www.google.com/
https://svnb.ca/en/,Mobile,#C96A6E,#FFFFFF,wide,side menu,menu item,False,No,quick escape,2,https://www.google.com/
https://endsexualviolence.com/,Mobile,#A12C26,#FFFFFF,wide,top,button,False,Yes,QUICK ESCAPE,1,https://www.google.com/
https://avaloncentre.ca/,Mobile,#E4DAE8,#E4DAE8,average,top left,button,False,Yes,QUICK ESCAPE,1,https://www.google.ca/?gws_rd=ssl
https://www.sesacnb.com/,Mobile,#FFFFFF,#FFFFFF,wide,top,button,False,Yes,Quick exit / Sortie rapide,1,https://www.sesacnb.com/;https://www.theweathernetwork.com/
https://arc-c.ca/,Mobile,#443166,#FFFFFF,average,top right,button,False,Yes,ESCAPE THIS SITE,1,https://www.google.com/
https://orcc.net/,Mobile,#10B47D,#FFFFFF,average,bottom right,button,True,Yes,Safe Exit,1,https://www.cbc.ca/news
https://sacbrant.ca/,Mobile,#59B259,#543D77,average,side menu,button,False,No,Escape!,2,https://www.google.com/
https://www.niagarasexualassaultcentre.com/,Mobile,#528C9B,#FFFFFF,wide,top,banner,True,Yes,HIDE THIS WEBSITE,1,https://www.google.ca/
https://thedragonflycentre.com/,Mobile,#C10000,#FFFFFF,average,bottom left,button,True,Yes,Quick Exit,1,https://www.google.com/;https://www.google.com/
https://thekitetrust.org.uk/,Mobile,#6A5A81,#FFFFFF,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.bbc.co.uk/bitesize
https://genderedintelligence.co.uk/,Mobile,#E9E9E9,#FFFFFF,average,top right,button,True,Yes,Get me out of here,1,https://www.bbc.co.uk/news
https://www.akt.org.uk/,Mobile,#750087,#FFFFFF,average,bottom right,button,True,Yes,exit page,1,https://www.bbc.co.uk/weather
https://mindout.org.uk/,Mobile,#F04E98,#FFFFFF,wide,bottom left,button,True,Yes,Leave Website Quickly,1,https://www.google.com/;about:blank
https://thebeyouproject.co.uk/,Mobile,#782281,#FFFFFF,average,top right,button,True,Yes,Quick Exit,1,https://www.google.co.uk/
https://lgbtbucks.org/,Mobile,#C9090C,#666666,average,top right,button,True,Yes,ESCAPE,1,https://www.google.co.uk/;https://www.google.co.uk/
https://www.equality-network.org/,Mobile,#F8A045,#FFFFFF,average,right,button,True,Yes,Hide me!,1,https://www.google.co.uk/
https://www.belongto.org/,Mobile,#FFFFFF,#303030,average,side menu,menu item,False,No,EXIT,2,https://www.google.com/
https://outhouse.ie/,Mobile,#AB1479,#FFFFFF,average,bottom right,button,True,Yes,Exit,1,https://www.google.com/;https://www.google.com/
https://man2man.ie/,Mobile,#00494F,#FFFFFF,small,right,image,True,Cookie Notice,EMERGENCY EXIT,1,https://www.google.ie/
https://nationalgenderserviceireland.com/,Mobile,#A3A3A3,#FFFFFF,average,bottom left,button,True,Yes,Emergency Exit,1,https://www.google.com/;https://www.google.com/
https://goshh.ie/,Mobile,#F8F8F8,#FFFFFF,average,bottom,button,True,Yes,QUICK EXIT,1,https://www.google.com/;https://www.rte.ie/
https://www.rainbowdoor.org.au/,Mobile,#000000,#F16177,average,side menu,menu item,False,No,,2,https://www.google.com.au/?gws_rd=ssl
https://thorneharbour.org/,Mobile,#FFCB33,#FFFFFF,average,top,button,True,Yes,Quick Exit,1,http://www.bom.gov.au/
https://www.rainbowdirectorysa.com.au/,Mobile,#F79393,#FFFFFF,average,side menu,button,False,No,,2,https://www.google.com/
https://www.thetrevorproject.org/,Mobile,SHORTCUT ONLY
http://www.tnlr.org/en/,Mobile,#007DC3,#FFFFFF,wide,right,button,True,Yes,SAFETY EXIT,1,https://www.google.com/;https://weather.com/en-GB/?Goto=Redirected
https://avp.org/,Mobile,#FEEAD2,#F8981E,average,top right,button,False,Yes,EXIT,1,https://weather.com/en-GB/?Goto=Redirected
